vertId	computed saliency value 
401	2.40753e-08
402	3.24542e-09
403	0
404	3.24542e-09
405	1.49514e-08
406	0
407	1.49514e-08
408	3.02454e-09
409	0
410	3.02454e-09
411	1.61806e-08
412	0
413	1.61806e-08
414	0
415	0
416	0
417	0
418	0
419	0
420	3.13484e-08
421	0
422	3.13484e-08
423	2.86136e-08
424	1.27019e-08
425	3.41218e-08
426	1.18101e-08
427	1.3413e-08
428	2.13677e-08
429	1.08796e-08
430	1.88119e-08
431	8.12908e-09
432	4.62401e-08
433	6.00647e-09
434	4.64223e-08
435	1.72915e-08
436	1.33442e-08
437	1.39254e-08
438	2.55606e-08
439	1.27544e-08
440	1.28921e-08
441	2.73666e-08
442	1.17322e-07
443	1.29001e-07
444	1.04996e-08
445	4.84405e-09
446	1.21318e-08
447	1.5805e-09
448	0
449	1.5805e-09
450	1.06157e-07
451	9.53544e-09
452	1.04434e-07
453	9.72838e-09
454	2.33651e-09
455	7.81492e-09
456	2.38712e-08
457	0
458	2.38712e-08
459	3.43817e-09
460	1.43252e-08
461	1.38989e-08
462	5.98305e-09
463	0
464	5.98305e-09
465	1.81688e-08
466	0
467	1.81688e-08
468	4.2888e-09
469	3.01478e-09
470	3.57402e-09
471	7.57928e-08
472	0
473	7.57928e-08
474	1.43907e-09
475	0
476	1.43907e-09
477	7.05372e-08
478	3.28906e-09
479	6.7751e-08
480	4.98867e-08
481	0
482	4.98867e-08
483	7.96733e-09
484	0
485	7.96733e-09
486	1.57335e-08
487	0
488	1.57335e-08
489	1.58068e-08
490	0
491	1.58068e-08
492	1.09847e-07
493	0
494	1.09847e-07
495	3.40581e-09
496	5.90489e-09
497	4.81048e-09
498	3.56436e-09
499	0
500	3.56436e-09
501	8.75758e-09
502	2.46726e-09
503	8.15688e-09
504	1.59001e-08
505	0
506	1.59001e-08
507	7.66479e-09
508	5.35667e-09
509	7.68883e-09
510	9.75313e-09
511	7.67362e-09
512	4.33241e-09
513	2.48183e-08
514	0
515	2.48183e-08
516	1.10089e-08
517	2.17483e-09
518	1.09337e-08
519	1.43233e-10
520	0
521	1.43234e-10
522	0
523	0
524	0
525	3.114e-08
526	0
527	3.114e-08
528	1.87907e-08
529	1.15447e-08
530	1.54708e-08
531	9.38166e-11
532	0
533	9.38172e-11
534	1.96311e-08
535	2.1512e-09
536	1.85926e-08
537	2.25985e-08
538	0
539	2.25985e-08
540	1.29106e-08
541	6.52904e-09
542	1.31688e-08
543	2.94106e-08
544	9.14391e-09
545	3.10577e-08
546	3.68615e-10
547	5.11582e-10
548	6.02878e-10
549	2.79904e-08
550	0
551	2.79904e-08
552	1.30507e-09
553	4.65425e-09
554	2.76234e-09
555	5.00461e-09
556	0
557	5.00461e-09
558	4.04822e-10
559	0
560	4.04822e-10
561	1.35228e-08
562	5.90326e-09
563	7.3506e-09
564	0
565	3.10095e-08
566	3.10095e-08
567	8.09877e-08
568	0
569	8.09877e-08
570	1.95346e-08
571	1.04692e-08
572	8.94005e-09
573	0
574	0.00819582
575	0.00819582
576	1.19437e-08
577	0
578	1.19437e-08
579	1.57896e-09
580	6.59271e-09
581	6.73957e-09
582	0
583	7.46358e-09
584	7.46358e-09
585	4.90519e-10
586	9.89453e-09
587	8.75841e-09
588	3.53041e-09
589	7.72257e-09
590	7.56137e-09
591	1.61565e-08
592	2.28358e-09
593	1.19395e-08
594	0
595	0.00865025
596	0.00865025
597	3.2179e-09
598	9.79276e-09
599	1.13434e-08
600	1.2623e-08
601	2.42665e-08
602	2.77275e-08
603	0
604	2.95207e-08
605	2.95207e-08
606	6.03361e-09
607	1.41151e-08
608	1.3896e-08
609	0
610	1.10982e-10
611	1.10982e-10
612	1.04869e-08
613	2.087e-08
614	1.08662e-08
615	0.0101925
616	0
617	0.0101925
618	3.48737e-08
619	1.78113e-08
620	1.85931e-08
621	0
622	2.63913e-09
623	2.63913e-09
624	0
625	5.16949e-10
626	5.16949e-10
627	4.97953e-11
628	0
629	4.97954e-11
630	1.13548e-09
631	7.64755e-10
632	1.30835e-09
633	0.013453
634	0
635	0.013453
636	1.3602e-08
637	0
638	1.3602e-08
639	0
640	0
641	0
642	9.1487e-09
643	0
644	9.1487e-09
645	0
646	1.15959e-08
647	1.15959e-08
648	7.43804e-09
649	1.27493e-08
650	1.50776e-08
651	0
652	2.88162e-09
653	2.88162e-09
654	5.81369e-09
655	0.00349603
656	0.00237664
657	5.12811e-09
658	2.08055e-09
659	4.87813e-09
660	2.36426e-08
661	8.19033e-09
