vertId	computed saliency value 
171	0.0928027
172	0
173	0.0928027
174	0.100825
175	0.0865152
176	0.0482788
177	0.105418
178	0.300584
179	0.226318
180	0.0363701
181	0.0706357
182	0.0467325
183	0.0871438
184	0.232276
185	0.161509
186	0.41716
187	0.13838
188	0.375987
189	0.200351
190	0.0515498
191	0.225072
192	0.0559006
193	0.0571586
194	0.0141784
195	0.0140971
196	0.00950299
197	0.016595
198	0
199	0
200	0
201	0.00382766
202	0.00382766
203	0
204	0
205	0
206	0
207	0.055379
208	0.0413329
209	0.0361309
210	0.103359
211	0.129024
212	0.0338897
213	0.205423
214	0
215	0.205422
216	0
217	0
218	0
219	0.0969786
220	0
221	0.0969786
222	0.0223399
223	0.0223399
224	0
225	0
226	0
227	0
228	0.18571
229	0.14843
230	0.0684879
231	0.0200087
232	0.000203276
233	0.0201192
234	0.201521
235	0.0400888
236	0.174914
237	0
238	0
239	0
240	0.113026
241	0.0829229
242	0.0688393
243	0.0730745
244	0.125596
245	0.14779
246	0
247	0.0109605
248	0.0109605
249	0.0462404
250	0
251	0.0462404
252	0.00621988
253	0
254	0.00621988
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0.00906197
271	0.0144314
272	0.0102725
273	0.021685
274	0.021685
275	0
276	0.0805818
277	0.025858
278	0.0452576
279	0.013485
280	0.0910211
281	0.0909015
282	0.0631872
283	0.0441504
284	0.0609608
285	0.143479
286	0.000937059
287	0.172404
288	0
289	0
290	0
291	0.0714758
292	0.159303
293	0.0945438
294	0.0409196
295	0.0995289
296	0.0545735
297	0.138585
298	0.0563965
299	0.0927187
300	0.113431
301	0.0655984
302	0.031135
303	0.010107
304	0.0146006
305	0.0118807
306	0.063211
307	0.0630813
308	0.00185463
309	0.0335131
310	0.0802198
311	0.0545242
312	0.0797957
313	0.0324127
314	0.0575069
315	0.0222019
316	0.00916222
317	0.0202864
318	0.01801
319	0.054971
320	0.0316628
321	0.555775
322	0.145458
323	0.525989
324	0
325	0
326	0
327	0
328	0
329	0
330	0.0133581
331	0.0304741
332	0.0166439
333	0.0318338
334	0.035541
335	0.0688583
336	0.0591749
337	0.32927
338	0.34332
339	0
340	0
341	0
342	0.236201
343	0.0695935
344	0.29233
345	0.0441685
346	0.0684363
347	0.0337829
348	0.0199427
349	0.0221279
350	0.0279339
351	0.0215095
352	0.0288213
353	0.00815742
354	0.109157
355	0.0504202
356	0.0637533
357	0.109253
358	0
359	0.109253
360	0
361	0.0360714
362	0.0360714
363	0
364	0.0502092
365	0.0502092
366	0
367	0.00707338
368	0.00707338
369	0
370	0.0600514
371	0.0600514
372	0
373	0.0641746
374	0.0641746
375	0
376	0.0351129
377	0.0351129
378	0.00322847
379	0.000680394
380	0.00312889
381	0.00144342
382	0
383	0.00144342
384	0.062172
385	0.0123939
386	0.0609765
387	0.00610438
388	0
389	0.00610438
390	0.0111051
391	0.0239139
392	0.0124922
393	0.126292
394	0
395	0.126292
396	0.136191
397	0
